"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus"
"426","5113","0111","2010",0,"T"
"426","5113","0111","2011",0,"T"
"426","5113","0111","2012",0,"T"
"426","5113","0111","2013",0,"T"
"426","5510","0111","2010",20119,""
"426","5510","0111","2011",20065,""
"426","5510","0111","2012",10516,""
"426","5510","0111","2013",13472,""
"426","5610","0111","2010",70000,"E"
"426","5610","0111","2011",70000,"E"
"426","5610","0111","2012",80000,"E"
"426","5610","0111","2013",84692,"T"
"426","5071","0111","2010",0,"T"
"426","5071","0111","2011",0,"T"
"426","5071","0111","2012",0,"T"
"426","5071","0111","2013",0,"T"
"426","5910","0111","2010",0,"M"
"426","5910","0111","2011",0,"M"
"426","5910","0111","2012",0,"M"
"426","5910","0111","2013",0,"M"
"426","5520","0111","2010",10639,"E"
"426","5520","0111","2011",10570,"E"
"426","5520","0111","2012",12091,"E"
"426","5520","0111","2013",8267.565314,"E"
"426","5525","0111","2010",958,""
"426","5525","0111","2011",976,""
"426","5525","0111","2012",874.207713,"I"
"426","5525","0111","2013",791.621353,"I"
"426","5016","0111","2010",6522.540573,"E"
"426","5016","0111","2011",6518.632216,"E"
"426","5016","0111","2012",6551.274232,"E"
"426","5016","0111","2013",7104.813333,"E"
"426","5023","0111","2010",72000,"E"
"426","5023","0111","2011",72000,"E"
"426","5023","0111","2012",71000,"E"
"426","5023","0111","2013",82000,"E"
"426","5166","0111","2010",-1,"I"
"426","5510","23110","2010",57600,"I"
"426","5510","23110","2011",57600,"I"
"426","5510","23110","2012",56800,"I"
"426","5510","23110","2013",65600,"I"
"426","5610","23110","2010",12000,"E"
"426","5610","23110","2011",12000,"E"
"426","5610","23110","2012",15000,"E"
"426","5610","23110","2013",19777,"T"
"426","5910","23110","2010",50,"E"
"426","5910","23110","2011",50,"E"
"426","5910","23110","2012",50,"E"
"426","5910","23110","2013",18212,"T"
"426","5141","23110","2010",69550,"E"
"426","5141","23110","2011",69550,"E"
"426","5141","23110","2012",71750,"E"
"426","5141","23110","2013",67165,"E"
"426","261","23110","2010",239947.5,"T"
"426","261","23110","2011",239947.5,"T"
"426","261","23110","2012",247537.5,"T"
"426","261","23110","2013",231719.25,"T"
"426","271","23110","2010",7580.95,"T"
"426","271","23110","2011",7580.95,"T"
"426","271","23110","2012",7820.75,"T"
"426","271","23110","2013",7320.985,"T"
"426","281","23110","2010",1112.8,"T"
"426","281","23110","2011",1112.8,"T"
"426","281","23110","2012",1148,"T"
"426","281","23110","2013",1074.64,"T"
"426","664","23110","2010",329.312502,"T"
"426","664","23110","2011",326.408875,"T"
"426","664","23110","2012",333.366152,"T"
"426","664","23110","2013",308.702176,"T"
"426","674","23110","2010",10.404366,"T"
"426","674","23110","2011",10.312628,"T"
"426","674","23110","2012",10.532438,"T"
"426","674","23110","2013",9.753199,"T"
"426","684","23110","2010",1.527246,"T"
"426","684","23110","2011",1.51378,"T"
"426","684","23110","2012",1.546046,"T"
"426","684","23110","2013",1.431662,"T"
"426","665","23110","2010",95.452899,"T"
"426","665","23110","2011",94.611268,"T"
"426","665","23110","2012",96.62787,"T"
"426","665","23110","2013",89.478892,"T"
"426","5510","39120.01","2010",12960,"I"
"426","5510","39120.01","2011",12960,"I"
"426","5510","39120.01","2012",12780,"I"
"426","5510","39120.01","2013",14760,"I"
"426","5520","39120.01","2010",12960,"E"
"426","5520","39120.01","2011",12960,"E"
"426","5520","39120.01","2012",12780,"E"
"426","5520","39120.01","2013",14760,"E"
"426","5113","23710","2010",60,"E"
"426","5113","23710","2011",60,"E"
"426","5113","23710","2012",60,"E"
"426","5113","23710","2013",60,"E"
"426","5610","23710","2010",30,"E"
"426","5610","23710","2011",30,"E"
"426","5610","23710","2012",30,"E"
"426","5610","23710","2013",30,"E"
"426","5071","23710","2010",0,"E"
"426","5071","23710","2011",0,"E"
"426","5071","23710","2012",0,"E"
"426","5071","23710","2013",-54,"E"
"426","5141","23710","2010",30,"E"
"426","5141","23710","2011",30,"E"
"426","5141","23710","2012",30,"E"
"426","5141","23710","2013",84,"E"
"426","261","23710","2010",105.3,"T"
"426","261","23710","2011",105.3,"T"
"426","261","23710","2012",105.3,"T"
"426","261","23710","2013",294.84,"T"
"426","271","23710","2010",3.57,"T"
"426","271","23710","2011",3.57,"T"
"426","271","23710","2012",3.57,"T"
"426","271","23710","2013",9.996,"T"
"426","281","23710","2010",0.54,"T"
"426","281","23710","2011",0.54,"T"
"426","281","23710","2012",0.54,"T"
"426","281","23710","2013",1.512,"T"
"426","664","23710","2010",0.144517,"T"
"426","664","23710","2011",0.143243,"T"
"426","664","23710","2012",0.141811,"T"
"426","664","23710","2013",0.392793,"T"
"426","674","23710","2010",0.0049,"T"
"426","674","23710","2011",0.004856,"T"
"426","674","23710","2012",0.004808,"T"
"426","674","23710","2013",0.013317,"T"
"426","684","23710","2010",0.000741,"T"
"426","684","23710","2011",0.000735,"T"
"426","684","23710","2012",0.000727,"T"
"426","684","23710","2013",0.002014,"T"
"426","665","23710","2010",0.041173,"T"
"426","665","23710","2011",0.04081,"T"
"426","665","23710","2012",0.040402,"T"
"426","665","23710","2013",0.111907,"T"
"426","5610","F0020","2010",500,"E"
"426","5610","F0020","2011",500,"E"
"426","5610","F0020","2012",500,"E"
"426","5610","F0020","2013",140,"T"
"426","5141","F0020","2010",500,"E"
"426","5141","F0020","2011",500,"E"
"426","5141","F0020","2012",500,"E"
"426","5141","F0020","2013",140,"E"
"426","261","F0020","2010",1365,"T"
"426","261","F0020","2011",1365,"T"
"426","261","F0020","2012",1365,"T"
"426","261","F0020","2013",382.2,"T"
"426","271","F0020","2010",46,"T"
"426","271","F0020","2011",46,"T"
"426","271","F0020","2012",46,"T"
"426","271","F0020","2013",12.88,"T"
"426","281","F0020","2010",17,"T"
"426","281","F0020","2011",17,"T"
"426","281","F0020","2012",17,"T"
"426","281","F0020","2013",4.76,"T"
"426","664","F0020","2010",1.873375,"T"
"426","664","F0020","2011",1.856857,"T"
"426","664","F0020","2012",1.838286,"T"
"426","664","F0020","2013",0.509176,"T"
"426","674","F0020","2010",0.063132,"T"
"426","674","F0020","2011",0.062575,"T"
"426","674","F0020","2012",0.06195,"T"
"426","674","F0020","2013",0.017159,"T"
"426","684","F0020","2010",0.023331,"T"
"426","684","F0020","2011",0.023126,"T"
"426","684","F0020","2012",0.022894,"T"
"426","684","F0020","2013",0.006341,"T"
"426","665","F0020","2010",0.686218,"T"
"426","665","F0020","2011",0.680167,"T"
"426","665","F0020","2012",0.673365,"T"
"426","665","F0020","2013",0.186511,"T"
"426","5610","F0022","2010",0,"E"
"426","5610","F0022","2011",0,"E"
"426","5610","F0022","2012",0,"E"
"426","5610","F0022","2013",3689,"T"
"426","5141","F0022","2010",0,"E"
"426","5141","F0022","2011",0,"E"
"426","5141","F0022","2012",0,"E"
"426","5141","F0022","2013",3689,"E"
"426","261","F0022","2010",0,"T"
"426","261","F0022","2011",0,"T"
"426","261","F0022","2012",0,"T"
"426","261","F0022","2013",14460.88,"T"
"426","271","F0022","2010",0,"T"
"426","271","F0022","2011",0,"T"
"426","271","F0022","2012",0,"T"
"426","271","F0022","2013",239.785,"T"
"426","281","F0022","2010",0,"T"
"426","281","F0022","2011",0,"T"
"426","281","F0022","2012",0,"T"
"426","281","F0022","2013",545.972,"T"
"426","664","F0022","2010",0,"T"
"426","664","F0022","2011",0,"T"
"426","664","F0022","2012",0,"T"
"426","664","F0022","2013",19.265146,"T"
