"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5113","0111","2010",0,"T","h"
"426","5113","0111","2011",0,"T","h"
"426","5113","0111","2012",0,"T","h"
"426","5113","0111","2013",0,"T","h"
"426","5113","0111","2014",0,"I","-"
"426","5113","0111","2015",30000,"E","u"
"426","5113","0111","2016",10000,"E","u"
"426","5113","0111","2017",0,"E","u"
"426","5113","0111","2018",70000,"E","u"
"426","5113","0111","2019",45000,"I","-"
"426","5113","0111","2020",15000,"E","u"
"426","5113","0111","2021",8503.107018,"I","-"
"426","5113","0111","2022",3159.199576,"I","-"
"426","5113","0111","2023",3159.199576,"E","u"
"426","5510","0111","2010",20119,"","-"
"426","5510","0111","2011",20065,"","-"
"426","5510","0111","2012",10516,"","-"
"426","5510","0111","2013",13472,"","q"
"426","5510","0111","2014",12592,"","p"
"426","5510","0111","2015",7069,"","q"
"426","5510","0111","2016",4690,"","q"
"426","5510","0111","2017",8851,"","q"
"426","5510","0111","2018",9058.48185,"I","e"
"426","5510","0111","2019",1432,"","q"
"426","5510","0111","2020",2004,"","q"
"426","5510","0111","2021",2395,"","q"
"426","5510","0111","2022",5704,"","q"
"426","5510","0111","2023",6366,"","q"
"426","5610","0111","2010",70000,"E","f"
"426","5610","0111","2011",70000,"E","f"
"426","5610","0111","2012",80000,"E","f"
"426","5610","0111","2013",84692,"T","p"
"426","5610","0111","2014",97791.087,"T","s"
"426","5610","0111","2015",18647.18,"T","p"
"426","5610","0111","2016",44969,"","p"
"426","5610","0111","2017",89330.74,"","s"
"426","5610","0111","2018",11373.77,"T","p"
"426","5610","0111","2019",39899.445,"","s"
"426","5610","0111","2020",71046.303,"","s"
"426","5610","0111","2021",37450,"","p"
"426","5610","0111","2022",67665.18454,"","s"
"426","5610","0111","2023",50668.62217,"T","s"
"426","5071","0111","2010",0,"T","h"
"426","5071","0111","2011",0,"T","h"
"426","5071","0111","2012",0,"T","h"
"426","5071","0111","2013",0,"T","h"
"426","5071","0111","2014",30000,"E","f"
"426","5071","0111","2015",-20000,"E","f"
"426","5071","0111","2016",-10000,"E","f"
"426","5071","0111","2017",70000,"E","f"
"426","5071","0111","2018",-25000,"E","f"
"426","5071","0111","2019",-30000,"E","f"
"426","5071","0111","2020",-6496.892982,"E","s"
"426","5071","0111","2021",-5343.907442,"E","s"
"426","5071","0111","2022",0,"E","f"
"426","5071","0111","2023",0,"E","f"
"426","5910","0111","2010",0,"M","u"
"426","5910","0111","2011",0,"M","u"
"426","5910","0111","2012",0,"M","u"
"426","5910","0111","2013",0,"M","u"
"426","5910","0111","2014",18.717,"T","s"
"426","5910","0111","2015",208.512,"T","s"
"426","5910","0111","2016",0.92629,"T","s"
"426","5910","0111","2017",37.8055,"","s"
"426","5910","0111","2019",4.5,"","s"
"426","5910","0111","2020",0.262,"","s"
"426","5910","0111","2021",69.663,"","s"
