"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5510","S2511","2010",20119,"I","s"
"426","5510","S2511","2011",20065,"I","s"
"426","5510","S2511","2012",10516,"I","s"
"426","5510","S2511","2013",13472,"I","s"
"426","5610","S2511","2010",86332.300083,"I","s"
"426","5610","S2511","2011",86332.300083,"I","s"
"426","5610","S2511","2012",100082.300083,"I","s"
"426","5610","S2511","2013",116723.753519,"I","s"
"426","5071","S2511","2010",0,"I","s"
"426","5071","S2511","2011",0,"I","s"
"426","5071","S2511","2012",0,"I","s"
"426","5071","S2511","2013",-87.426362,"I","s"
"426","5910","S2511","2010",62.5,"I","s"
"426","5910","S2511","2011",62.5,"I","s"
"426","5910","S2511","2012",62.5,"I","s"
"426","5910","S2511","2013",22765,"I","s"
"426","5520","S2511","2010",10639,"I","s"
"426","5520","S2511","2011",10570,"I","s"
"426","5520","S2511","2012",12091,"I","s"
"426","5520","S2511","2013",8267.565314,"I","s"
"426","5525","S2511","2010",958,"I","s"
"426","5525","S2511","2011",976,"I","s"
"426","5525","S2511","2012",874.207713,"I","s"
"426","5525","S2511","2013",791.621353,"I","s"
"426","5016","S2511","2010",6522.540573,"I","s"
"426","5016","S2511","2011",6518.632216,"I","s"
"426","5016","S2511","2012",6551.274232,"I","s"
"426","5016","S2511","2013",7104.813333,"I","s"
"426","5141","S2511","2010",88269.800083,"I","s"
"426","5141","S2511","2011",88269.800083,"I","s"
"426","5141","S2511","2012",91019.800083,"I","s"
"426","5141","S2511","2013",91354.179881,"I","s"
"426","261","S2511","2010",241417.8,"I","s"
"426","261","S2511","2011",241417.8,"I","s"
"426","261","S2511","2012",249007.8,"I","s"
"426","261","S2511","2013",254394.250296,"I","s"
"426","271","S2511","2010",7630.52,"I","s"
"426","271","S2511","2011",7630.52,"I","s"
"426","271","S2511","2012",7870.32,"I","s"
"426","271","S2511","2013",7782.313606,"I","s"
"426","281","S2511","2010",1130.34,"I","s"
"426","281","S2511","2011",1130.34,"I","s"
