"Year","hs","QTY"
2014,"380891130",138726
2014,"380891190",165653
2014,"380891210",20913
2014,"380891290",776
2014,"380891910",34108
2014,"380891920",2019
2014,"380891930",4913
2014,"380891990",1017981
2014,"380892210",7000
2014,"380892290",129725
2014,"380892990",3079508
2014,"380893190",0
2014,"380893210",12500
2014,"380893290",169000
2014,"380893910",10100
2014,"380893990",151656
2014,"380894110",320
2014,"380894190",9506
2014,"380894910",4133
2014,"380894990",2294871
2014,"380899190",3200
2014,"380899910",7300
2014,"380899990",44268
2014,"380850900",7300
2014,"030119000",22802
2014,"030199000",32512
2014,"030211000",4200
2014,"030213000",2955
2014,"030214000",480
2014,"030219000",130774
2014,"030231000",3641
2014,"030239000",1354
2014,"030243000",9714
2014,"030271000",218832
2014,"030279000",104297
2014,"030289000",1788943
2014,"030311000",1031
2014,"030313000",24182
2014,"030319000",6712
2014,"030323000",480170
2014,"030324000",5000
2014,"030339000",236942
2014,"030349000",5190
2014,"030351000",187340
2014,"030353000",42120
2014,"030354000",973851
2014,"030355000",189604
2014,"030366000",1391752
2014,"030367000",243607
2014,"030369000",54412
2014,"030389000",4322919
2014,"030390000",792
2014,"030431000",41593
2014,"030449000",25530
2014,"030459000",196353
2014,"030461000",25225
2014,"030462000",1880893
2014,"030471000",511
2014,"030474000",20250
2014,"030475000",26000
2014,"030481000",63712
2014,"030482000",250
2014,"030487000",550
2014,"030489000",1048047
2014,"030499000",327032
2014,"030541000",50627
2014,"030542000",1199
2014,"030543000",300
2014,"030549000",7021
2014,"030551000",1113
2014,"030559000",53457
2014,"030561000",18000
2014,"030562000",3060
2014,"030563000",3033
2014,"030569000",132000
2014,"030612000",877
2014,"030614000",3352
2014,"030617000",495061
2014,"030619000",17634
2014,"030622000",3608
2014,"030624000",6981
2014,"030627000",25657
2014,"030629000",16757
2014,"030711000",1682
2014,"030721000",2278
2014,"030729000",350
2014,"030731000",56
2014,"030739000",290
2014,"030741000",75582
2014,"030749000",11496
2014,"030751000",676
2014,"030759000",1950
2014,"030791000",3403
2014,"030799000",31500
2014,"030890000",1500
2014,"160411000",1310
2014,"160412000",2462
2014,"160413000",2848833
2014,"160414000",10963309
2014,"160415000",58450
2014,"160416000",4393
2014,"160419000",15838
2014,"160420100",2359
2014,"160420900",72771
2014,"160431000",853
2014,"160432000",719
2014,"160510000",180
2014,"160529000",35679
2014,"160540000",250
2014,"160552000",1449
2014,"160553000",5507
2014,"160554000",13812
2014,"160555000",1118
2014,"160559000",1220
2014,"160569000",500
